city,longitude,latitude,state
Juneau,58.30194,-134.41972,AK
Kake,56.97583,-133.94722,AK
Ketchikan,55.3418,-131.64757,AK
Klawock,55.55222,-133.09583,AK
Metlakatla,55.12848,-131.57519,AK
Petersburg,56.8125,-132.95556,AK
Sitka,57.05315,-135.33088,AK
Skagway,59.45833,-135.31389,AK
Wrangell,56.47083,-132.37667,AK
Yakutat,59.54694,-139.72722,AK
Craig,55.47639,-133.14833,AK
Haines,59.23595,-135.44533,AK
Hoonah,58.11,-135.44361,AK
Butte,61.54222,-149.03333,AK
Chevak,61.52778,-165.58639,AK
Cohoe,60.36861,-151.30639,AK
College,64.85694,-147.80278,AK
Cordova,60.5432,-145.75867,AK
Delta Junction,64.03778,-145.73222,AK
Diamond Ridge,59.67611,-151.5575,AK
Dillingham,59.03972,-158.4575,AK
Dutch Harbor,53.8898,-166.5422,AK
Eagle River,61.32139,-149.56778,AK
Emmonak,62.77778,-164.52306,AK
Ester,64.84722,-148.01444,AK
Fairbanks,64.83778,-147.71639,AK
Fort Yukon,66.56472,-145.27389,AK
Fox River,59.85833,-150.95833,AK
Fritz Creek,59.73611,-151.29528,AK
Funny River,60.50194,-150.76222,AK
Gambell,63.77921,-171.73463,AK
Gateway,61.57278,-149.24083,AK
Girdwood,60.9425,-149.16639,AK
Happy Valley,59.94722,-151.73222,AK
Healy,63.85694,-148.96611,AK
Homer,59.6425,-151.5494,AK
Hooper Bay,61.53111,-166.09667,AK
Houston,61.63028,-149.81806,AK
Kalifornsky,60.41833,-151.29,AK
Kasigluk,60.89556,-162.51806,AK
Kasilof,60.3375,-151.27444,AK
Kenai,60.55444,-151.25833,AK
King Cove,55.06087,-162.31853,AK
Kipnuk,59.93889,-164.04139,AK
Kodiak,57.78852,-152.40533,AK
Kotlik,63.03417,-163.55333,AK
Kotzebue,66.89846,-162.59809,AK
Kwethluk,60.81037,-161.42497,AK
Lazy Mountain,61.62611,-148.94556,AK
Meadow Lakes,61.62472,-149.60111,AK
Mountain Village,62.08556,-163.72944,AK
Naknek,58.72833,-157.01389,AK
New Stuyahok,59.45278,-157.31194,AK
Nikiski,60.69028,-151.28889,AK
Ninilchik,60.05035,-151.66819,AK
Noatak,67.57111,-162.96528,AK
Nome,64.50111,-165.40639,AK
Noorvik,66.83833,-161.03278,AK
North Pole,64.75111,-147.34944,AK
Nunapitchuk,60.89694,-162.45944,AK
Palmer,61.59941,-149.11456,AK
Pilot Station,61.93889,-162.875,AK
Pleasant Valley,64.88139,-146.86861,AK
Point MacKenzie,61.35972,-149.97833,AK
Point Hope,68.34861,-166.73472,AK
Prudhoe Bay,70.25528,-148.33722,AK
Quinhagak,59.74889,-161.91583,AK
Ridgeway,60.53194,-151.08528,AK
St. Mary's,62.0534,-163.17787,AK
Salamatof,60.61538,-151.31944,AK
Sand Point,55.33655,-160.4988,AK
Savoonga,63.69417,-170.47889,AK
Scammon Bay,61.84278,-165.58167,AK
Selawik,66.60389,-160.00694,AK
Seward,60.10426,-149.4435,AK
Shishmaref,66.25621,-166.07229,AK
Soldotna,60.48778,-151.05833,AK
Stebbins,63.52009,-162.28871,AK
Sterling,60.53722,-150.76472,AK
Talkeetna,62.32389,-150.10944,AK
Tanaina,61.62694,-149.42806,AK
Togiak,59.06194,-160.37639,AK
Tok,63.33667,-142.98556,AK
Toksook Bay,60.53378,-165.10366,AK
Two Rivers,64.87222,-147.03833,AK
Unalakleet,63.87306,-160.78806,AK
Unalaska,53.87413,-166.53408,AK
Valdez,61.13083,-146.34833,AK
Wainwright,70.63694,-160.03833,AK
Wasilla,61.5809,-149.4415,AK
Willow,61.74722,-150.0375,AK
